Ticker,Short Name,Market Cap,Rank(Current Market Cap),Market Cap,Price:D-1,P/E,Total Return YTD,Industry Sector,Industry Group,INDUSTRY_SUBGROUP,cap,shares
ENDP US Equity,ENDO INTERNATION,829.23M,2660,829.23M,3.61,2.29,-23.03,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Generic Drugs,813155133.6,229704840
AFIN US Equity,AMERICAN FINANCE,798.76M,2692,798.76M,7.36,--,-40.99,Financial,REITS,REITS-Diversified,812872727.7,108527734
AXDX US Equity,ACCELERATE DIAGN,862.22M,2625,862.22M,15.6,--,-7.69,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,812477349.6,55270568
CSTL US Equity,CASTLE BIOSCIENC,822.66M,2668,822.66M,42.18,--,22.72,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,812320608.4,19503496
PNQI US Equity,INVESCO NASDAQ I,806.07M,2685,806.07M,198.27,--,40.2,Funds,Equity Fund,Internet & Telecom,812146484.4,4050000
QADB US Equity,QAD INC-B,803.27M,2688,803.27M,28.16,--,-23.34,Technology,Software,Enterprise Software/Serv,811997418.9,3321002
FMBL US Equity,FARMERS & MER/CA,798.66M,2693,798.66M,6100,10.08,-21.62,Financial,Banks,Commer Banks-Western US,811753600,130928
FPAC US Equity,FAR POINT ACQU-A,811.18M,2680,811.18M,10.26,202.81,-0.68,Diversified,Holding Companies-Divers,Specified Purpose Acquis,811181250,79062500
NKTX US Equity,NKARTA INC,820.34M,2671,820.34M,25.22,--,--,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,809610395.9,32527537
EWQ US Equity,ISHARES MSCI FRA,806.68M,2684,806.68M,28.85,--,-11.22,Funds,Equity Fund,Country Fund-France,809479980.5,28000000
ANNX US Equity,ANNEXON INC,834.37M,2658,834.37M,21.83,--,--,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,809142528.8,38221187
BKE US Equity,THE BUCKLE INC,828.08M,2662,828.08M,16.76,10.4,-34.21,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,808811923,49408181
CHI US Equity,CALAMOS OPP&INC,807.11M,2683,807.11M,11.36,--,8.59,Financial,Closed-end Funds,Closed-end Funds,808531494.1,70923815
GES US Equity,GUESS? INC,810.56M,2681,810.56M,11.99,--,-46.43,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,805824458.2,67602723
STBA US Equity,S & T BANCORP,812.16M,2679,812.16M,20.68,17.35,-47.64,Financial,Banks,Commer Banks-Eastern US,805443611.8,39251638
SG US Equity,SIRIUS INTERNATI,824.97M,2664,824.97M,7.16,--,-18.16,Financial,Insurance,Property/Casualty Ins,805192947.9,115299341
IDLV US Equity,INVESCO S&P INTE,803.66M,2687,803.66M,28.15,--,-16.06,Funds,Equity Fund,International Equity,803660034.2,28600000
HMI US Equity,HUAMI CORP-ADR,777.47M,2717,777.47M,12.55,11.22,4.41,"Consumer, Cyclical",Home Furnishings,Audio/Video Products,802866151.8,26277874
FLGT US Equity,FULGENT GENETICS,789.18M,2702,789.18M,36.14,300.08,180.16,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,800318720,21836800
AGQ US Equity,PRO ULTRA SILVER,767.38M,2731,767.38M,60.57,--,91.37,Funds,Commodity Fund,Commodity,800174316.4,11546526
SGOV US Equity,ISHARES 0-3M T/B,800.08M,2691,800.08M,100.01,--,--,Funds,Debt Fund,Unclassified,800119995.1,8000000
EMD US Equity,WA-EMRG MRKT DBT,796.99M,2696,796.99M,13.25,--,-1.53,Financial,Closed-end Funds,Closed-end Funds,799417480.5,60746012
PAE US Equity,PAE INC,797.99M,2694,797.99M,8.67,23.2,-16.15,Technology,Computers,Computer Services,798912876.7,92040654
JKD US Equity,ISHARES MORNINGS,792.61M,2700,792.61M,190.89,--,4.38,Funds,Equity Fund,Growth&Income-Large Cap,798044982.9,4150000
AACQU US Equity,ARTIUS ACQUISITI,795.37M,2697,795.37M,10.1,--,--,Diversified,Holding Companies-Divers,Specified Purpose Acquis,795375000,78750000
CARA US Equity,CARA THERAPEUTIC,804.89M,2686,804.89M,17.2,--,6.77,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,794597081.8,46796059
HYMC US Equity,HYCROFT MINING H,772.46M,2723,772.46M,15.4,158.34,49.04,Basic Materials,Mining,Precious Metals,793531864.4,50160042
IDU US Equity,ISHARES US UTILI,788.53M,2705,788.53M,148.49,--,-6.9,Funds,Equity Fund,Sector Fund-Utility,791396057.1,5300000
CCX/U US Equity,CHURCHILL CAPITA,769.35M,2728,769.35M,11.15,41.11,3.44,Diversified,Holding Companies-Divers,Specified Purpose Acquis,790050000,69000000
EFSC US Equity,ENTERPRISE FINAN,787.49M,2706,787.49M,30.05,9.35,-36.93,Financial,Banks,Commer Banks-Central US,789588105.7,26206044
DIN US Equity,DINE BRANDS GLOB,772.35M,2724,772.35M,47.04,13.64,-41.27,"Consumer, Cyclical",Retail,Retail-Restaurants,789264694.9,16419070
LLNW US Equity,LIMELIGHT NETWOR,819.11M,2673,819.11M,6.71,--,64.46,Communications,Internet,Internet Content-Entmnt,788588072.2,122072457
TDF US Equity,TEMPLETON DRAGON,785.78M,2707,785.78M,23.2,--,19.28,Financial,Country Funds-Closed-end,Finance-Investment Fund,787636535.6,33804143
EB US Equity,EVENTBRITE INC-A,820.86M,2669,820.86M,9.05,--,-55.13,Communications,Internet,E-Commerce/Services,786390891.8,67129072
IHDG US Equity,WISDOMTREE INTER,784.74M,2711,784.74M,35.35,--,-1.96,Funds,Equity Fund,Unclassified,786186523.4,22300000
UIS US Equity,UNISYS CORP,778.26M,2716,778.26M,12.35,--,4.13,Technology,Computers,Computer Services,785824970.3,63017239
RWT US Equity,REDWOOD TRUST,802.28M,2689,802.28M,6.98,--,-55.91,Financial,REITS,REITS-Mortgage,785040200,114940000
KRYS US Equity,KRYSTAL BIOTECH,795.25M,2698,795.25M,40.48,--,-26.91,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,784250914.9,19645564
AHH US Equity,ARMADA HOFFLER P,783.09M,2713,783.09M,10.07,22.8,-43.73,Financial,REITS,REITS-Diversified,783871411.7,56492059
PSTX US Equity,POSEIDA THERAPEU,797.42M,2695,797.42M,12.9,--,--,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,783825434.5,61815886
FCF US Equity,FIRST COMMON FIN,791.95M,2701,791.95M,8.07,9.23,-43.17,Financial,Banks,Commer Banks-Eastern US,783114882.1,98134697
IPAY US Equity,ETFMG PRIME MOBI,776.88M,2718,776.88M,54.32,--,9.6,Funds,Equity Fund,Unclassified,782987976.1,14200000
AXL US Equity,AMER AXLE & MFG,784.98M,2710,784.98M,6.93,--,-35.59,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,782716360.9,113272990
TPRE US Equity,THIRD POINT REIN,773.28M,2721,773.28M,8.15,--,-22.53,Financial,Insurance,Reinsurance,780872514.7,94881229
TIGR US Equity,UP FINTECH H-ADR,785.31M,2708,785.31M,5.57,292.87,56.9,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,778257497.8,118481229
PTEN US Equity,PATTERSON-UTI,814.28M,2678,814.28M,4.34,--,-58.12,Energy,Oil&Gas,Oil&Gas Drilling,777735315,187406100
CRY US Equity,CRYOLIFE INC,765.49M,2736,765.49M,20.22,--,-25.36,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,774196263.6,37858008
GOF US Equity,GUGGENHEIM STRAT,771.25M,2725,771.25M,17.54,--,4.59,Financial,Closed-end Funds,Closed-end Funds,772946655.3,43595413
QUS US Equity,SPDR MSCI USA ST,768.27M,2730,768.27M,93.53,--,-0.36,Funds,Equity Fund,Unclassified,771891723.6,8230000
UDOW US Equity,PRO UPRO DOW30,775.22M,2719,775.22M,73.31,--,-40.8,Funds,Equity Fund,Growth&Income-Large Cap,771882019,10300000
ATEX US Equity,ANTERIX INC,760.09M,2746,760.09M,43.95,--,1.71,Communications,Telecommunications,Wireless Equipment,771414757,17296295
PLT US Equity,PLANTRONICS INC,793.28M,2699,793.28M,19.47,--,-28.01,Communications,Telecommunications,Telecommunication Equip,771277180.9,40743644
PLAB US Equity,PHOTRONICS INC,782.88M,2714,782.88M,11.93,23.07,-24.3,Technology,Semiconductors,Electronic Compo-Semicon,769094516.3,65622399
CORP US Equity,PIMCO INV CORP,769.28M,2729,769.28M,117.53,--,8.8,Funds,Debt Fund,Government/Corporate,768646301.3,6530000
BSJK US Equity,INVESCO BULLETSH,767.22M,2732,767.22M,23.37,--,-1.03,Funds,Debt Fund,Unclassified,767848022.5,32800000
FPH US Equity,FIVE POINT HOL-A,764.03M,2741,764.03M,5.15,--,-25.9,Financial,Real Estate,Real Estate Oper/Develop,766998426.5,69056591
THQ US Equity,TEKLA HEALTHCARE,764.80M,2738,764.80M,18.47,--,1.35,Financial,Closed-end Funds,Closed-end Funds,765211669.9,41340446
STNG US Equity,SCORPIO TANKERS,788.55M,2703,788.55M,13.44,5.16,-65.47,Industrial,Transportation,Transport-Marine,765083923.2,58672080
EWW US Equity,ISHARES MSCI MEX,761.76M,2744,761.76M,33.27,--,-25.84,Funds,Equity Fund,Country Fund-Mexico,764979980.5,23000000
ARCB US Equity,ARCBEST CORP,783.39M,2712,783.39M,31.01,12.01,13.21,Industrial,Transportation,Transport-Truck,764620417,25444939
CBB US Equity,CINCINNATI BELL,762.51M,2742,762.51M,15.08,--,44.03,Communications,Telecommunications,Telephone-Integrated,764263523.4,50680605
SPTN US Equity,SPARTANNASH CO,769.99M,2727,769.99M,21.58,18.83,55.71,"Consumer, Non-cyclical",Food,Food-Wholesale/Distrib,763927341.1,35680866
HCC US Equity,WARRIOR MET COAL,815.90M,2676,815.90M,15.94,11.02,-24.06,Energy,Coal,Coal,763687674.9,51185501
GABC US Equity,GERMAN AMER BNCP,765.24M,2737,765.24M,28.88,13.71,-17.91,Financial,Banks,Commer Banks-Central US,763386953.7,26497291
HNGR US Equity,HANGER INC,724.30M,2789,724.30M,19.01,20.36,-31.15,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,763158162.7,38100757
EBND US Equity,SPDR EM LOCAL BD,762.13M,2743,762.13M,26.8,--,-1.64,Funds,Debt Fund,Emerging Market-Debt,762089965.8,28500000
PCEF US Equity,INVESCO CEF INCO,761.59M,2745,761.59M,20.8,--,-5.96,Funds,Asset Allocation Fund,Balanced,761587036.1,36650000
PNTG US Equity,PENNANT GROUP,731.20M,2779,731.20M,26.2,--,-20.77,"Consumer, Non-cyclical",Healthcare-Services,Medical-Outptnt/Home Med,761066485.7,27908562
ORIC US Equity,ORIC PHARMACEUTI,666.52M,2881,666.52M,22.25,--,--,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,760284549,29956050
OMER US Equity,OMEROS CORP,752.79M,2753,752.79M,13.81,--,-1.99,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,759878698,54510667
DDD US Equity,3D SYSTEMS CORP,855.21M,2633,855.21M,7.06,--,-19.31,Technology,Computers,Computers-Other,759517102.1,121135104
ACEL US Equity,ACCEL ENTERTAINM,618.23M,2978,618.23M,7.9,--,-36.8,"Consumer, Cyclical",Entertainment,Casino Services,758430044.2,82348539
CDXS US Equity,CODEXIS INC,759.57M,2747,759.57M,12.87,--,-19.51,Basic Materials,Chemicals,Chemicals-Diversified,758386915.5,59018437
SCU US Equity,SCULPTOR CAPITAL,756.57M,2749,756.57M,13.78,--,-36.33,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,758221947.5,22058420
GRBK US Equity,GREEN BRICK PART,774.73M,2720,774.73M,15.06,8.91,31.18,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,758010792.6,50661919
BRKL US Equity,BROOKLINE BANCRP,770.40M,2726,770.40M,9.77,16.03,-39.41,Financial,Savings&Loans,S&L/Thrifts-Eastern US,757625020.8,78919273
RA US Equity,BROOKFIELD REAL,754.56M,2750,754.56M,17.11,--,-13.23,Financial,Closed-end Funds,Closed-end Funds,755664489.7,44036394
CET US Equity,CENTRAL SECURITI,754.27M,2751,754.27M,29.31,--,-10.84,Financial,Closed-end Funds,Closed-end Funds,755562316.9,25787110
INGN US Equity,INOGEN INC,766.13M,2734,766.13M,34.72,110.02,-49.19,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,755541517.8,22066049
IWC US Equity,ISHARES MICRO-CA,751.95M,2756,751.95M,93.04,--,-5.84,Funds,Equity Fund,Growth&Income-Small Cap,754434021,8100000
NP US Equity,NEENAH INC,765.68M,2735,765.68M,45.57,15.66,-34.18,Basic Materials,Forest Products&Paper,Paper&Related Products,752570000.5,16802188
BHE US Equity,BENCHMARK ELECTR,764.37M,2740,764.37M,20.99,41.51,-37.97,Industrial,Electronics,Electronic Compo-Misc,752189274.7,36460944
QAI US Equity,INDEXIQ-HE MU ST,751.55M,2757,751.55M,31.11,--,1.02,Funds,Equity Fund,Blue Chip,751688049.3,24150000
HOLI US Equity,HOLLYSYS AUTOMAT,764.58M,2739,764.58M,12.63,6.78,-23.03,Industrial,Machinery-Diversified,Industrial Automat/Robot,751265398.6,60537099
TCX US Equity,TUCOWS INC-A,750.41M,2759,750.41M,70.99,46.12,14.91,Communications,Internet,Internet Applic Sftwr,750088957.8,10567610
MORF US Equity,MORPHIC HOLDING,746.41M,2761,746.41M,24.35,--,41.93,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,749934879.6,30647114
RWL US Equity,INVESCO S&P 500,752.68M,2754,752.68M,54.13,--,-5.99,Funds,Equity Fund,Unclassified,749914794.9,13851400
SIZE US Equity,ISHARES EDGE MSC,746.16M,2762,746.16M,93.8,--,-2.72,Funds,Equity Fund,Growth & Income,749200012.2,8000000
IWL US Equity,ISHARES RUSSELL,744.09M,2766,744.09M,79.92,--,7.26,Funds,Equity Fund,Growth&Income-Large Cap,748830444.3,9300000
AIO US Equity,ALLNZ-ARTIF INTE,747.19M,2760,747.19M,21.58,--,11.82,Financial,Closed-end Funds,Closed-end Funds,748587585.4,34323135
NKX US Equity,NUV CA AMTFR INC,746.07M,2763,746.07M,15.68,--,5.68,Financial,Closed-end Funds,Closed-end Funds,746069213.9,47520333
PHB US Equity,INVESCO FUNDAMEN,743.61M,2767,743.61M,18.87,--,0.43,Funds,Debt Fund,Corp/Pref-High Yield,744342041,39300000
GLTR US Equity,ABERDEEN STANDAR,728.43M,2783,728.43M,101.88,--,33.35,Funds,Commodity Fund,Commodity,744293029.8,7100000
STFC US Equity,STATE AUTO FINL,704.72M,2809,704.72M,16.1,--,-47.6,Financial,Insurance,Property/Casualty Ins,744112661,43771333
TUP US Equity,TUPPERWARE BRAND,752.48M,2755,752.48M,15.32,12.2,78.55,"Consumer, Cyclical",Housewares,Housewares,743640827.4,49117624
USLVF US Equity,VEL-3X LNG SLVR,712.38M,2802,712.38M,202.66,--,120.76,Funds,Commodity Fund,Commodity,742196289.1,3041788
COHU US Equity,COHU INC,773.21M,2722,773.21M,18.47,--,-18.94,Technology,Semiconductors,Semiconductor Equipment,741810942.4,41862920
EUFN US Equity,ISHARES MSCI EUR,739.29M,2770,739.29M,14.95,--,-22.38,Funds,Equity Fund,Financial Services,741274536.1,49650000
RYH US Equity,INVESCO S&P 500,736.65M,2771,736.65M,241.62,--,9.52,Funds,Equity Fund,Unclassified,739804504.4,3100000
GWB US Equity,GREAT WESTERN BA,753.69M,2752,753.69M,13.7,--,-59.67,Financial,Banks,Commer Banks-Western US,738838651.2,55014047
MNRL US Equity,BRIGHAM MINERALS,744.66M,2765,744.66M,12.01,19.42,-40.19,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,737843494.5,39296944
GEL US Equity,GENESIS ENERGY,726.89M,2785,726.89M,5.93,--,-68.77,Energy,Pipelines,Pipelines,736701100.2,122539221
IBDQ US Equity,ISHARES IBONDS D,735.73M,2773,735.73M,27.26,--,6.78,Funds,Debt Fund,Unclassified,735196044.9,26950000
PFXF US Equity,VANECK PFD X FIN,735.55M,2774,735.55M,19.18,--,-2.19,Funds,Debt Fund,Corporate/Preferred,734402465.8,38350000
OXM US Equity,OXFORD INDS INC,766.85M,2733,766.85M,45.87,18.33,-38.11,"Consumer, Cyclical",Apparel,Apparel Manufacturers,733919673.2,16717988
DTD US Equity,WISDOMTREE US TO,730.83M,2781,730.83M,94.5,--,-8.9,Funds,Equity Fund,Aggressive Growth,733847534.2,7750000
ASMB US Equity,ASSEMBLY BIOSCIE,735.95M,2772,735.95M,22.4,--,9.48,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,733814504.2,32854914
GIM US Equity,TEMPLETON GL INC,732.56M,2776,732.56M,5.51,--,-7.84,Financial,Closed-end Funds,Closed-end Funds,733768493.7,134144158
SPWH US Equity,SPORTSMAN'S WARE,742.65M,2769,742.65M,17.09,28.5,112.83,"Consumer, Cyclical",Retail,Retail-Sporting Goods,733521969.8,43455093
LOB US Equity,LIVE OAK BANCSHA,723.92M,2790,723.92M,17.86,112.56,-5.67,Financial,Banks,Commer Banks-Southern US,733246112.6,37817698
EBIX US Equity,EBIX INC,718.75M,2794,718.75M,23.56,8.12,-29.06,Technology,Software,Applications Software,732785610.2,30507311
IVOG US Equity,VANGUARD S&P M/C,730.87M,2780,730.87M,152.12,--,3.53,Funds,Equity Fund,Growth-Mid Cap,732374206.5,4825000
FNCL US Equity,FID-FINANCIALS,728.84M,2782,728.84M,34.59,--,-20.76,Funds,Equity Fund,Unclassified,731611938.5,21200000
MLPA US Equity,GLOBAL X MLP ETF,727.74M,2784,727.74M,27.54,--,-38.2,Funds,Equity Fund,Sector Fund-Energy,730603332.5,26018637
ICHR US Equity,ICHOR HOLDINGS L,734.39M,2775,734.39M,32,28.18,-3.82,Industrial,Machinery-Diversified,Industrial Automat/Robot,730139487.8,22949536
DHS US Equity,WISDOMTREE US HI,726.51M,2787,726.51M,64.07,--,-14.89,Funds,Equity Fund,Growth&Income-Large Cap,728102539.1,11350000
MCRI US Equity,MONARCH CASINO,690.84M,2840,690.84M,37.98,52.3,-21.77,"Consumer, Cyclical",Entertainment,Gambling (Non-Hotel),723944567.6,18189562
AMTI US Equity,APPLIED MOLECULA,745.03M,2764,745.03M,21.88,--,--,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,723916266.2,34050624
IIM US Equity,INVESCO VALUE MU,722.89M,2791,722.89M,15.35,--,2.94,Financial,Closed-end Funds,Closed-end Funds,722890564,47032568
TCMD US Equity,TACTILE SYSTEMS,708.57M,2804,708.57M,36.5,--,-45.93,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,721775488.7,19413004
IGR US Equity,CBRE-CL GL R/E I,714.66M,2799,714.66M,6.1,--,-19.38,Financial,Closed-end Funds,Closed-end Funds,721695190.4,116590494
KROS US Equity,KEROS THERAPEUTI,724.75M,2788,724.75M,35.97,--,--,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,721523622,20148663
PWB US Equity,INVESCO DYNAMIC,716.40M,2796,716.40M,59.74,--,16.54,Funds,Equity Fund,Growth-Large Cap,721320007.3,12000000
LBRT US Equity,LIBERTY OILFIE-A,751.01M,2758,751.01M,6.65,--,-39.65,Energy,Oil&Gas Services,Oil-Field Services,719387586.2,84853162
CODX US Equity,CO-DIAGNOSTICS I,758.37M,2748,758.37M,27.62,--,2.99k,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Kits,718004028,27457133
BFS US Equity,SAUL CENTERS INC,715.26M,2798,715.26M,30.83,19.91,-38.98,Financial,REITS,REITS-Shopping Centers,716184000,23200000
GSG US Equity,ISHARES S&P GSCI,718.35M,2795,718.35M,11.05,--,-31.83,Funds,Commodity Fund,Commodity,715749023.4,64950000
LIT US Equity,GLOBAL X LITHIUM,715.33M,2797,715.33M,38.25,--,40.62,Funds,Equity Fund,Sector Fund-Energy,715425048.8,18674628
HSTM US Equity,HEALTHSTREAM INC,719.94M,2793,719.94M,22.5,40.71,-17.28,Communications,Internet,Internet Content-Info/Ne,714824127.7,31997499
TRWH US Equity,TWIN RIVER WORLD,699.63M,2820,699.63M,22.99,21.4,-9.98,"Consumer, Cyclical",Entertainment,Gambling (Non-Hotel),713631947.7,30432066
RES US Equity,RPC INC,714.21M,2801,714.21M,3.32,--,-36.64,Energy,Oil&Gas Services,Oil-Field Services,712057964.1,215123252
IIIV US Equity,I3 VERTICALS-A,705.20M,2807,705.20M,25.69,113.71,-9.06,Financial,Diversified Finan Serv,Finance-Credit Card,709321927.8,15048918
REGL US Equity,PSHR S&P MID ARI,706.85M,2806,706.85M,55.15,--,-7.01,Funds,Equity Fund,Unclassified,708434448.2,12890001
HEES US Equity,H&E EQUIPMENT SE,714.50M,2800,714.50M,19.9,10.37,-38.82,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,707853429.4,35913416
KRNY US Equity,KEARNY FINANCIAL,704.28M,2810,704.28M,7.68,13.52,-43.53,Financial,Banks,Commer Banks-Eastern US,706117566,91703580
BCRX US Equity,BIOCRYST PHARM,742.65M,2768,742.65M,4.21,--,22.03,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,705604364,176401091
WIW US Equity,WESTERN A IL OPP,704.22M,2811,704.22M,11.44,--,1.4,Financial,Closed-end Funds,Closed-end Funds,705453064,61184134
KODK US Equity,EASTMAN KODAK CO,651.63M,2906,651.63M,14.9,--,220.43,Industrial,Machinery-Diversified,Machinery-Print Trade,704548279.9,43733599
SLRC US Equity,SOLAR CAPITAL LT,707.02M,2805,707.02M,16.73,10.8,-12.34,Financial,Investment Companies,Investment Companies,704487969.4,42260826
GWX US Equity,SPDR INTL SMALL,699.72M,2818,699.72M,29.35,--,-6.79,Funds,Equity Fund,International Equity,702814025.9,23800000
PFC US Equity,PREMIER FINANCIA,694.46M,2832,694.46M,18.62,10.67,-39.46,Financial,Diversified Finan Serv,Finance-Other Services,702295222.8,37296613
GLT US Equity,GLATFELTER,709.89M,2803,709.89M,16,19.22,-10.25,Basic Materials,Forest Products&Paper,Paper&Related Products,701899165.5,44367836
NWLI US Equity,NATIONAL WESTE-A,732.15M,2777,732.15M,201.36,6.46,-30.78,Financial,Insurance,Life/Health Insurance,701824580.4,3436020
AOK US Equity,ISHARES CORE CON,700.81M,2813,700.81M,37.43,--,4.61,Funds,Asset Allocation Fund,Balanced,701810974.1,18700000
WCLD US Equity,W/T CLOUD COMPUT,700.74M,2814,700.74M,43.3,--,69.47,Funds,Equity Fund,Unclassified,701408874.5,16625004
XMMO US Equity,INVESCO S&P MIDC,699.39M,2821,699.39M,66.04,--,8.67,Funds,Equity Fund,Aggressive Growth,701195983.9,10650000
NMCO US Equity,NVN-MUNI CRD OPP,696.58M,2828,696.58M,13.05,--,-13.06,Financial,Closed-end Funds,Closed-end Funds,701113220.2,53276080
CFA US Equity,VICTORYSHARES US,697.88M,2824,697.88M,54.09,--,-3.34,Funds,Equity Fund,Unclassified,700594970.7,12950000
SXI US Equity,STANDEX INTL CO,701.38M,2812,701.38M,56.52,13.21,-27.94,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,700512267.1,12409429
HTRB US Equity,HRTFRD TR BD ETF,700.65M,2815,700.65M,42.65,--,7.68,Funds,Debt Fund,Unclassified,699952026.4,16400000
VGM US Equity,INVESCO TRUST F,700.59M,2816,700.59M,12.87,--,3.03,Financial,Closed-end Funds,Closed-end Funds,699506286.6,54225296
VKQ US Equity,INVESCO MUNICIPA,697.03M,2826,697.03M,12.57,--,4.66,Financial,Closed-end Funds,Closed-end Funds,698694458,55320227
AKUS US Equity,AKOUOS INC,726.64M,2786,726.64M,21.15,--,--,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,698471792.3,34356704
HTD US Equity,JOHN HAN-T/A D I,692.64M,2835,692.64M,19.55,--,-25.6,Financial,Closed-end Funds,Closed-end Funds,697948669.4,35392935
MDP US Equity,MEREDITH CORP,658.14M,2896,658.14M,14.5,--,-54.36,Communications,Media,Publishing-Periodicals,697179755.5,40304544
OEC US Equity,ORION ENGINEERED,696.81M,2827,696.81M,11.52,13.78,-39.24,Basic Materials,Chemicals,Chemicals-Diversified,696206716.7,60487117
IMTX US Equity,IMMATICS NV,692.62M,2836,692.62M,11.01,--,5.87,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,695769304,62908617
HIMX US Equity,HIMAX TECHNO-ADR,731.78M,2778,731.78M,4.25,--,59.77,Technology,Semiconductors,Semicon Compo-Intg Circu,695623485.2,172184031
LDP US Equity,COHEN & STEERS L,694.24M,2833,694.24M,23.83,--,-4.77,Financial,Closed-end Funds,Closed-end Funds,693952026.4,28830580
KBWB US Equity,INVESCO KBW BANK,692.15M,2838,692.15M,38.82,--,-31.92,Funds,Equity Fund,Financial Services,693947021.5,17950000
MATW US Equity,MATTHEWS INTL-A,684.39M,2854,684.39M,21.89,20.76,-41.24,Industrial,Packaging&Containers,Containers-Paper/Plastic,693924610.9,31264907
RPAR US Equity,RPAR RISK PARITY,681.13M,2859,681.13M,23,--,14.76,Funds,Asset Allocation Fund,Unclassified,693554016.1,30050000
PKW US Equity,INVESCO BUYBACK,690.50M,2841,690.50M,60.84,--,-10.66,Funds,Equity Fund,Growth & Income,693462036.1,11400000
NIE US Equity,ALLIANZGI EQUITY,689.40M,2843,689.40M,24.9,--,14.15,Financial,Closed-end Funds,Closed-end Funds,692724121.1,27708965
PHK US Equity,PIMCO-HI INCOME,695.05M,2830,695.05M,5.27,--,-24.95,Financial,Closed-end Funds,Closed-end Funds,692622680.7,132432637
WLKP US Equity,WESTLAKE CHEMICA,686.29M,2851,686.29M,19.5,10.65,-22.81,Basic Materials,Chemicals,Chemicals-Specialty,691924754.7,35194545
CGW US Equity,INVESCO S&P GLOB,688.49M,2846,688.49M,40.21,--,-2.24,Funds,Equity Fund,Unclassified,690885986.3,17080000
PSNL US Equity,PERSONALIS INC,698.26M,2822,698.26M,22.02,--,102.02,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,690619483,31884556
HFWA US Equity,HERITAGE FINL,692.32M,2837,692.32M,19.28,17.66,-29.78,Financial,Banks,Commer Banks-Western US,690528300.8,35908908
PPA US Equity,INVESCO AEROSPAC,686.10M,2852,686.10M,56.85,--,-16.1,Funds,Equity Fund,Undefined Equity,688419006.3,12150000
IMGN US Equity,IMMUNOGEN INC,697.30M,2825,697.30M,3.99,--,-21.74,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,687695933.1,174542115
MNA US Equity,IQ MERGER ARBITR,689.12M,2845,689.12M,32.18,--,-3.07,Funds,Equity Fund,Blue Chip,687687011.7,21450000
PASG US Equity,PASSAGE BIO INC,683.89M,2855,683.89M,15.08,--,--,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,687516414.9,45350687
JHEM US Equity,JH MF EM MRK ETF,683.63M,2856,683.63M,25.02,--,-5.49,Funds,Equity Fund,Unclassified,687466003.4,27400000
RILY US Equity,B. RILEY FINANCI,687.22M,2849,687.22M,27,16.59,10.81,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,687224655,25452765
FFWM US Equity,FIRST FOUNDATION,698.16M,2823,698.16M,15.65,12.38,-8.85,Financial,Banks,Commer Banks-Western US,687006863,44625324
VCEL US Equity,VERICEL CORP,720.39M,2792,720.39M,15.92,--,-8.51,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,686448598.3,45250402
AGX US Equity,ARGAN INC,685.00M,2853,685.00M,43.77,--,13.43,Industrial,Machinery-Constr&Mining,Machinery-Electric Util,686251140.7,15649969
